Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Change,Cummulative change
21-Dec-2016,21349.75,21359.95,21224.5,21260.95,68801504,2076.71,-0.06,8.03
22-Dec-2016,21236.6,21239.4,20857.95,20892.45,74207552,2087.18,-1.73,6.16
23-Dec-2016,20910.55,21032.25,20726.05,20798.35,84795650,3460.64,-0.45,5.68
26-Dec-2016,20754.15,20763.1,20405.6,20426.2,85443550,3177.88,-1.79,3.79
27-Dec-2016,20449.45,20836.8,20322.35,20811.75,91625133,2580.36,1.89,5.75
28-Dec-2016,20897.95,21089.25,20862.35,20902.25,81007366,2674.65,0.43,6.21
29-Dec-2016,20906,21199.65,20892.3,21151.75,130332152,3717.88,1.19,7.48
30-Dec-2016,21229.5,21433.45,21223.45,21389.7,74020080,2167.52,1.12,8.69
02-Jan-2017,21488.55,21604.7,21346.4,21580.25,86382438,2421.89,0.89,9.66
03-Jan-2017,21640.35,21804.9,21588.4,21753.45,84628349,2563.08,0.80,10.54
04-Jan-2017,21821.2,21866.1,21681.35,21724.85,106773055,3099.02,-0.13,10.39
05-Jan-2017,21829.55,22087.75,21822.95,22074.6,96419437,2776.48,1.61,12.17
06-Jan-2017,22141.95,22227.6,21977.3,22024.45,105287891,3203.08,-0.23,11.91
09-Jan-2017,22098.7,22125,22009.9,22035.5,67986566,2293.6,0.05,11.97
10-Jan-2017,22108.75,22276.55,22080.55,22260.5,82500303,2816.91,1.02,13.11
11-Jan-2017,22346.4,22560.25,22319,22543.25,135762867,3834.4,1.27,14.55
12-Jan-2017,22584.2,22646.5,22501.25,22622.7,184031313,3097.59,0.35,14.95
13-Jan-2017,22696.15,22705.15,22499.45,22647.65,103776480,2428.89,0.11,15.08
16-Jan-2017,22679.3,22802.2,22617.2,22789.9,105080175,2505.77,0.63,15.80
17-Jan-2017,22856.65,22911.35,22724.7,22779.35,118775166,3460.11,-0.05,15.75
18-Jan-2017,22827.7,22977.95,22811.4,22919.1,100466433,3256.14,0.61,16.46
